age,medication,total_medication_use,medication_rank
[0-10),insulin,132,1
[10-20),insulin,598,1
[10-20),metformin,46,2
[10-20),glipizide,3,3
[20-30),insulin,1208,1
[20-30),metformin,170,2
[20-30),glipizide,58,3
[30-40),insulin,2302,1
[30-40),metformin,765,2
[30-40),glipizide,293,3
[40-50),insulin,5569,1
[40-50),metformin,2303,2
[40-50),glipizide,1021,3
[50-60),insulin,9496,1
[50-60),metformin,4181,2
[50-60),glipizide,2076,3
[60-70),insulin,12113,1
[60-70),metformin,5051,2
[60-70),glipizide,2905,3
[70-80),insulin,13185,1
[70-80),metformin,4950,2
[70-80),glipizide,3593,3
[80-90),insulin,8445,1
[80-90),glipizide,2364,2
[80-90),metformin,2296,3
[90-100),insulin,1335,1
[90-100),glipizide,373,2
[90-100),metformin,226,3
